,Minimum Water Level,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,4.719961672754668,46156336.52546772,93638788.6710167,906700000.0,2374.7669022142513,0.010443649201878484
1,4.990377749890111,60696542.71177512,93638788.6710167,906700000.0,3212.7346950433566,0.014105265878377585
2,4.5387,134692026.1114339,93638788.6710167,906700000.0,8515.369936682871,0.013224907386552714
3,4.5387,2780586.934486163,93638788.6710167,906700000.0,160.0193965821125,0.0003395864589325826
4,5.257577581919588,302207832.185911,93638788.6710167,906700000.0,26552.461519402135,0.045375999745572965
5,4.5387,77698949.00478786,93638788.6710167,906700000.0,5412.38560186691,0.010149401016371337
6,4.826538167607642,11038618.297594525,93638788.6710167,906700000.0,597.4083653050153,0.0020804987651199232
7,4.5387,180916473.78946394,93638788.6710167,906700000.0,10275.84852029057,0.017795203290369807
8,4.5387,20612569.138330184,93638788.6710167,906700000.0,1459.9405063256654,0.003012558452488758
9,4.5387,595759210.5580195,93638788.6710167,906700000.0,36441.31365404851,0.06415069712366836
10,5.604036715280014,140777157.4776569,93638788.6710167,906700000.0,7704.716280432574,0.013071370818896042
11,5.44813397258837,2605025093.879502,93638788.6710167,906700000.0,51905.93519857001,0.2778383269773623
12,4.917163258215736,47142681.5838878,93638788.6710167,906700000.0,2279.751315412431,0.010256281442857427
13,4.5387,21277465.55051346,93638788.6710167,906700000.0,835.690757322195,0.0038516426728202255
14,4.5387,211834310.3197797,93638788.6710167,906700000.0,11765.515435162051,0.022125227369236736
15,4.5387,26945782.75250633,93638788.6710167,906700000.0,1385.4494638593574,0.006338759914584895
16,4.5387,0.0,93638788.6710167,906700000.0,0.0,0.0
17,4.5387,0.0,93638788.6710167,906700000.0,0.0,0.0
18,5.584142475131891,88172453.27297571,93638788.6710167,906700000.0,5848.775118414233,0.011260893157341766
19,4.5387,1643900054.6915674,93638788.6710167,906700000.0,80664.4835690452,0.298217519701475
20,4.5387,1481307413.644807,93638788.6710167,906700000.0,96690.46218596875,0.14238962877736502
21,4.5387,63969505.344297215,93638788.6710167,906700000.0,3482.2403102917287,0.00695355286118538
22,5.457066184781703,75100229.82642184,93638788.6710167,906700000.0,4948.402845319867,0.009724969756852291
23,4.63844130848518,43809194.759564005,93638788.6710167,906700000.0,2967.468945678755,0.009697327388164955
24,5.615195302038808,315414329.38925266,93638788.6710167,906700000.0,12829.74787979862,0.029414490300336212
25,4.5387,63370171.67023659,93638788.6710167,906700000.0,3201.3964605405063,0.013800361069471391
26,4.5387,89901873.39368694,93638788.6710167,906700000.0,4946.802766698177,0.009047895446333215
27,5.176433325287434,89579019.5855371,93638788.6710167,906700000.0,4113.574334796731,0.013678134652793404
28,5.457066184781703,7617861.74325349,93638788.6710167,906700000.0,549.8001042788626,0.0014826344149319994
29,4.826538167607642,1594736.8817780628,93638788.6710167,906700000.0,76.42017013178223,0.00016253591707745591
30,5.474221980180606,30367502.612620167,93638788.6710167,906700000.0,1866.9302746645606,0.003916942428316866
31,4.5387,3278081603.8176394,93638788.6710167,906700000.0,59184.89377950833,0.30460249903014464
32,4.5387,48406042.474657565,93638788.6710167,906700000.0,3199.615236426619,0.013752563466472599
33,5.525874901123643,896686102.9242723,93638788.6710167,906700000.0,43730.13775350718,0.16343732191589438
34,4.716409716212114,3422107474.8075213,93638788.6710167,906700000.0,30555.88739985096,0.19408051501228224
35,4.5387,39487638.44235988,93638788.6710167,906700000.0,2239.1371166378476,0.006495858660075536
36,4.5387,33807412.11149236,93638788.6710167,906700000.0,1670.490076161349,0.006601777590485344
37,4.987612757718671,39059785.31501979,93638788.6710167,906700000.0,2282.3811430240867,0.010329667824759955
38,4.5387,0.0,93638788.6710167,906700000.0,0.0,0.0
39,5.437350234521688,1494032818.2496219,93638788.6710167,906700000.0,107839.20126725704,0.39873801962064825
40,4.5387,2293146937.8219576,93638788.6710167,906700000.0,32520.690388684827,0.20656026960034268
41,4.942498202448965,61384377.961963214,93638788.6710167,906700000.0,4304.9326112187255,0.007687092552267253
42,4.83748459933447,80727142.20525485,93638788.6710167,906700000.0,5479.441279370925,0.013748467977980953
43,4.5387,51732986.91276587,93638788.6710167,906700000.0,2275.2848824357275,0.010132021609391448
44,4.5387,26334559.08524978,93638788.6710167,906700000.0,1734.5954076348798,0.0031325618204755047
45,5.431413961565319,122843488.79054832,93638788.6710167,906700000.0,6904.509800090071,0.014755317275026245
46,4.5387,174411419.75792083,93638788.6710167,906700000.0,11512.092346544025,0.04434729291551652
47,5.179539222736919,398115004.6881968,93638788.6710167,906700000.0,26738.19007165417,0.09991977063255059
48,5.2671045812777475,55480311.819150075,93638788.6710167,906700000.0,2278.781314319905,0.010229264822178242
49,4.6378873989588945,75893180.40745232,93638788.6710167,906700000.0,4742.843717415683,0.01073445757121712
50,4.5387,62794402.005089894,93638788.6710167,906700000.0,3694.521438675662,0.006306549382720467
